alumni_ID,last_name,first_name,contact_date,status,need,notes
1001,Woolham,Raquela,2/29/2020,Struggling,,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
1002,Nice,Selinda,2/13/2017,Good,,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.
1003,Roakes,Fransisco,7/29/2019,Bad,,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
1004,Proschek,Ives,4/27/2016,Struggling,,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.
1005,Moreing,Verene,9/12/2018,Struggling,,In quis justo. Maecenas rhoncus aliquam lacus.
1006,Stenbridge,Giacinta,9/8/2016,Bad,Yes,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus."
1007,Aldin,Smitty,1/31/2015,Bad,,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.
1008,Coulbeck,Breena,4/29/2015,Good,,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
1009,Burgher,Linnell,7/23/2015,Good,,Ut tellus. Nulla ut erat id mauris vulputate elementum.
1010,Bloor,Kristos,6/10/2019,Bad,,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
1011,Gloster,Schuyler,7/30/2016,Bad,,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
1012,Osment,Rollo,3/1/2020,Good,,Integer a nibh. In quis justo.
1013,Lorant,Jamal,9/21/2017,Bad,,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.
1014,Scholey,Benedikta,7/1/2015,Bad,Yes,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
1015,Gash,Shina,11/26/2020,Good,,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
1016,Hatherleigh,Kaia,5/29/2020,Bad,,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
1017,Donlon,Torrie,11/3/2020,Good,,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
1018,Duester,Rheba,1/4/2020,Good,,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus."
1019,Speeks,Hanni,2/2/2015,Bad,,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.
1020,Hamal,Imogene,3/7/2019,Struggling,,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
1021,Bownd,Cortie,2/8/2020,Good,,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque."
1022,Malenoir,Dorice,1/17/2019,Bad,,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
1023,Aspel,Edita,12/18/2017,Bad,Yes,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
1024,Maude,Birgitta,6/2/2020,Good,,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
1025,McGaw,Ike,5/23/2017,Bad,,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
1026,Edlington,Ephrem,11/27/2016,Bad,,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
1027,Hulme,Joachim,11/12/2019,Bad,,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
1028,Phelips,Thebault,10/27/2020,Struggling,,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.
1029,Wane,Berkly,3/30/2019,Good,,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.
1030,Battista,Brigid,9/19/2016,Struggling,Yes,Nulla mollis molestie lorem. Quisque ut erat.
1031,MacInerney,Berri,10/5/2018,Struggling,,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst."
1032,Paulmann,Herculie,9/8/2017,Good,,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.
1033,Bennike,Lincoln,2/20/2017,Struggling,,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
1034,de Guerre,Cad,3/11/2020,Good,,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.
1035,Keese,Tedman,3/22/2017,Bad,Yes,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
1036,Staning,Reynard,3/5/2021,Good,,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
1037,Bearward,Pearline,9/18/2018,Struggling,,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl."
1038,Anthonies,Abbe,7/6/2017,Struggling,,Quisque ut erat. Curabitur gravida nisi at nibh.
1039,Brownlee,Giustina,6/13/2017,Good,,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
1040,Tadman,Omar,5/25/2020,Bad,,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
1041,Robbins,Virginie,7/11/2015,Struggling,,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
