ID Number,First Name,Last Name,Graduation Year,CORE?
1073,Misty,Adhams,2015,
1007,Smitty,Aldin,2017,
1088,Gerry,Antecki,2016,
1038,Abbe,Anthonies,2017,
1023,Edita,Aspel,2015,
1045,Cornie,Bagg,2019,
1030,Brigid,Battista,2018,Yes
1037,Pearline,Bearward,2016,
1033,Lincoln,Bennike,2020,Yes
1010,Kristos,Bloor,2015,
1072,Davin,Bonnell,2015,
1021,Cortie,Bownd,2016,
1095,Nerissa,Brandone,2016,
1039,Giustina,Brownlee,2019,Yes
1009,Linnell,Burgher,2019,
1094,Blair,Clewlowe,2017,
1008,Breena,Coulbeck,2016,
1099,Editha,Cromwell,2016,
1055,Alfy,Cullivan,2018,
1089,Karin,Curl,2019,Yes
1084,Dacy,Dargue,2019,
1083,Cleavland,Deller,2019,Yes
1070,Melonie,Dignall,2020,Yes
1068,Anita,Dinkin,2015,Yes
1017,Torrie,Donlon,2020,
1061,Davida,Douberday,2018,
1018,Rheba,Duester,2018,
1052,Garik,Duly,2015,
1078,Pammi,Dury,2018,
1026,Ephrem,Edlington,2015,
1092,Wilt,Elger,2016,
1087,Kirbee,Farbrother,2015,
1080,Travis,Fateley,2020,
1059,Frederik,Gartenfeld,2018,
1015,Shina,Gash,2017,
1098,Juana,Gear,2019,
1011,Schuyler,Gloster,2016,Yes
1053,Antonio,Grandison,2016,Yes
1091,Germaine,Grigson,2016,Yes
1020,Imogene,Hamal,2019,Yes
1086,Rossie,Hanniger,2017,
1016,Kaia,Hatherleigh,2015,Yes
1075,Magdalena,Haycraft,2019,Yes
1077,Gerhard,Hengoed,2017,
1060,Kendricks,Hubback,2020,
1027,Joachim,Hulme,2016,
1054,Ingemar,Imason,2016,
1064,Neille,Keemer,2020,
1035,Tedman,Keese,2019,
1063,Hartwell,Lamke,2015,
1056,Maighdiln,Lamperd,2019,
1097,Levy,Leborgne,2018,Yes
1049,Kenna,Leithgoe,2020,Yes
1074,Jaquith,Linley,2020,
1013,Jamal,Lorant,2020,
1031,Berri,MacInerney,2017,
1043,Nerty,MacMeeking,2017,
1022,Dorice,Malenoir,2016,
1024,Birgitta,Maude,2016,
1042,Vevay,McCorkell,2016,
1100,Roobbie,McCrone,2020,Yes
1025,Ike,McGaw,2019,
1096,Debbie,McGeachey,2017,Yes
1085,Rey,McSaul,2016,
1071,Donal,Menary,2016,
1005,Verene,Moreing,2016,Yes
1079,Ted,Mussilli,2019,Yes
1002,Selinda,Nice,2019,
1067,Gerda,O'Cosgra,2016,
1012,Rollo,Osment,2015,
1032,Herculie,Paulmann,2015,
1082,Jany,Pfeffle,2017,
1028,Thebault,Phelips,2015,
1046,Brnaby,Pirri,2015,
1093,Rhea,Poyzer,2015,
1004,Ives,Proschek,2018,
1066,Auguste,Ranstead,2017,Yes
1003,Fransisco,Roakes,2019,Yes
1041,Virginie,Robbins,2015,
1076,Roth,Robyns,2017,
1050,Wilfred,Rottenbury,2019,Yes
1044,Constantin,Rubinowicz,2017,Yes
1014,Benedikta,Scholey,2020,
1058,Aime,Searby,2020,Yes
1051,Olvan,Sedgmond,2018,
1090,Kirby,Siberry,2015,
1019,Hanni,Speeks,2017,
1036,Reynard,Staning,2017,
1006,Giacinta,Stenbridge,2019,
1062,Lezlie,Stobart,2018,
1065,Eddie,Szymonwicz,2019,
1040,Omar,Tadman,2019,
1081,Gabi,Tregea,2015,
1069,Penny,Twinborough,2019,
1029,Berkly,Wane,2019,
1047,Leeann,Wetherby,2020,
1048,Orelia,Whistan,2020,Yes
1001,Raquela,Woolham,2018,
1057,Thornie,Yelden,2020,
1034,Cad,de Guerre,2018,
